,,,,Scor,Scor,Scor,Scor,Scor,Scor,,Goal,Goal,Goal,Goal,Assi,Assi,Assi,,,Ice,Ice,,,,,
Player,Age,Pos,Tm,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%
Kevan Miller\milleke03,27,D,BOS,41,2,5,7,20,15,3.4,2,0,0,1,5,0,0,37,5.4,739,18:02,60,87,0,0,
Nikita Nesterov\nesteni01,21,D,TBL,27,2,5,7,6,16,1.7,1,1,0,0,4,1,0,44,4.5,433,16:03,18,43,0,0,
Derrick Pouliot\poulide01,21,D,PIT,34,2,5,7,-11,4,0.6,1,1,0,2,2,3,0,56,3.6,597,17:33,20,15,0,0,
Nate Prosser\prossna01,28,D,MIN,63,2,5,7,-1,32,1.7,2,0,0,1,5,0,0,38,5.3,806,12:48,102,34,0,0,
Brian Strait\straibr01,27,D,NYI,52,2,5,7,-1,32,1.4,2,0,0,0,4,0,1,59,3.4,955,18:22,85,124,0,1,0.0
Craig Adams\adamscr01,37,RW,PIT,70,1,6,7,-1,44,-0.3,1,0,0,1,5,0,1,51,2.0,682,9:45,29,183,17,23,42.5
Mark Barberio\barbema01,24,D,TBL,52,1,6,7,-4,16,0.9,1,0,0,0,6,0,0,53,1.9,873,16:47,46,35,0,0,
Anthony Duclair\duclaan01,19,LW,NYR,18,1,6,7,4,4,0.7,1,0,0,0,5,1,0,18,5.6,219,12:09,5,6,0,0,
Adam McQuaid\mcquaad01,28,D,BOS,63,1,6,7,-2,85,1.8,1,0,0,0,6,0,0,60,1.7,1161,18:26,91,141,0,1,0.0
Stephane Robidas\robidst01,37,D,TOR,52,1,6,7,8,34,2.5,1,0,0,0,5,0,1,34,2.9,888,17:04,75,141,0,0,
Nick Shore\shoreni01,22,C,LAK,34,1,6,7,0,10,0.3,1,0,0,0,5,1,0,33,3.0,377,11:05,14,51,127,109,53.8
Mike Weber\webermi01,27,D,BUF,64,1,6,7,-22,68,0.7,1,0,0,0,5,0,1,41,2.4,1200,18:45,168,172,0,0,
Anton Volchenkov\volchan01,32,D,NSH,46,0,7,7,4,14,1.6,0,0,0,0,7,0,0,35,0.0,606,13:11,48,93,0,0,
Jacob de La Rose\delarja01,19,LW,MTL,33,4,2,6,-5,12,0.2,3,0,1,0,2,0,0,38,10.5,455,13:48,24,71,64,96,40.0
Jamie McGinn\mcginja01,26,LW,COL,19,4,2,6,-9,6,0.3,3,1,0,0,2,0,0,36,11.1,281,14:46,7,29,1,0,100.0
Zach Boychuk\boychza01,25,LW,CAR,31,3,3,6,0,4,0.6,3,0,0,0,3,0,0,35,8.6,329,10:38,9,40,0,0,
B.J. Crombeen\crombbj01,29,RW,ARI,58,3,3,6,-6,79,0.1,3,0,0,0,3,0,0,43,7.0,469,8:06,12,68,1,0,100.0
Mikhail Grigorenko\grigomi01,20,C,BUF,25,3,3,6,-10,2,0.0,2,1,0,0,2,1,0,35,8.6,379,15:10,15,28,153,173,46.9
Sven Baertschi\baertsv01,22,LW,TOT,18,2,4,6,-3,10,0.5,2,0,0,0,4,0,0,15,13.3,174,9:41,7,8,0,0,
Michal Jordan\jordami01,24,D,CAR,38,2,4,6,-7,4,1.4,0,2,0,0,4,0,0,44,4.5,606,15:57,61,35,0,0,
Scott Laughton\laughsc01,20,C,PHI,31,2,4,6,-1,17,0.2,2,0,0,0,3,1,0,51,3.9,394,12:43,11,58,134,141,48.7
Jeremy Morin\morinje01,23,RW,TOT,43,2,4,6,1,28,0.2,2,0,0,0,4,0,0,73,2.7,439,10:12,5,45,2,3,40.0
Paul Postma\postmpa01,25,D,WPG,42,2,4,6,1,16,1.4,0,2,0,0,4,0,0,40,5.0,593,14:08,28,17,0,0,
Andrew Ebbett\ebbetan01,32,C,PIT,24,1,5,6,1,2,0.5,1,0,0,0,5,0,0,21,4.8,216,9:00,12,10,39,47,45.3
Tanner Glass\glassta01,31,LW,NYR,66,1,5,6,-12,98,-1.0,1,0,0,0,5,0,0,53,1.9,676,10:15,32,211,10,11,47.6
Andrew Miller\millean01,26,C,EDM,9,1,5,6,-2,0,0.5,1,0,0,0,5,0,0,14,7.1,124,13:45,6,7,1,1,50.0
Zac Rinaldo\rinalza01,24,C,PHI,58,1,5,6,-9,102,-0.5,1,0,0,0,5,0,0,45,2.2,517,8:55,20,216,1,2,33.3
Josh Gorges\gorgejo01,30,D,BUF,46,0,6,6,-28,16,-0.3,0,0,0,0,5,0,1,28,0.0,1029,22:22,148,75,0,0,
Korbinian Holzer\holzeko01,26,D,TOR,34,0,6,6,3,25,1.5,0,0,0,0,6,0,0,32,0.0,582,17:06,53,117,0,0,
Michael Latta\lattami01,23,C,WSH,53,0,6,6,4,68,0.1,0,0,0,0,6,0,0,24,0.0,444,8:23,14,91,160,175,47.8
Curtis McKenzie\mckencu01,23,LW,DAL,36,4,1,5,-8,48,-0.1,4,0,0,0,1,0,0,41,9.8,415,11:32,13,85,3,5,37.5
Michael Bournival\bournmi01,22,LW,MTL,29,3,2,5,3,4,0.7,3,0,0,1,2,0,0,27,11.1,229,7:53,10,26,4,1,80.0
Peter Harrold\harrope01,31,D,NJD,43,3,2,5,-10,4,0.9,3,0,0,0,2,0,0,31,9.7,655,15:15,39,40,0,0,
William Karlsson\karlswi01,22,C,TOT,21,3,2,5,3,0,0.6,3,0,0,1,1,1,0,29,10.3,257,12:14,7,18,93,104,47.2
Phil Varone\varonph01,24,C,BUF,28,3,2,5,-14,10,-0.3,3,0,0,0,2,0,0,28,10.7,376,13:27,22,30,147,179,45.1
Micheal Ferland\ferlami01,22,LW,CGY,26,2,3,5,1,16,0.3,2,0,0,1,2,1,0,34,5.9,274,10:31,11,71,0,0,
Radko Gudas\gudasra01,24,D,TBL,31,2,3,5,-5,34,0.6,2,0,0,1,3,0,0,63,3.2,527,17:00,63,115,0,0,
Lucas Lessio\lessilu01,22,LW,ARI,26,2,3,5,-10,8,-0.1,2,0,0,0,3,0,0,44,4.5,332,12:45,6,59,0,2,0.0
Trevor Smith\smithtr01,29,C,TOR,54,2,3,5,-9,12,-0.6,2,0,0,0,3,0,0,46,4.3,597,11:04,25,75,293,268,52.2
Jared Boll\bollja01,28,RW,CBJ,72,1,4,5,-13,109,-0.8,1,0,0,0,4,0,0,28,3.6,524,7:16,17,131,0,2,0.0
Brandon Bollig\bollibr01,28,LW,CGY,62,1,4,5,-9,88,-0.6,1,0,0,0,4,0,0,67,1.5,533,8:36,24,139,3,2,60.0
Michael Chaput\chapumi01,22,C,CBJ,33,1,4,5,-8,21,-0.3,1,0,0,0,4,0,0,23,4.3,337,10:12,20,59,143,151,48.6
Martin Marincin\marinma01,22,D,EDM,41,1,4,5,-4,16,1.2,1,0,0,0,4,0,0,38,2.6,765,18:39,59,17,1,0,100.0
Shawn Thornton\thornsh01,37,LW,FLA,46,1,4,5,-13,50,-0.6,1,0,0,0,4,0,0,53,1.9,441,9:35,5,93,3,9,25.0
Zach Trotman\trotmza01,24,D,BOS,27,1,4,5,-2,0,0.9,1,0,0,1,4,0,0,46,2.2,443,16:24,33,44,0,0,
Brian Gibbons\gibbobr02,26,C,CBJ,25,0,5,5,2,8,0.0,0,0,0,0,4,1,0,21,0.0,346,13:49,17,14,4,5,44.4
Jack Hillen\hilleja01,29,D,TOT,38,0,5,5,-1,10,0.9,0,0,0,0,5,0,0,24,0.0,489,12:52,53,38,0,0,
Tyson Strachan\stracty01,30,D,BUF,46,0,5,5,-30,44,-0.8,0,0,0,0,4,0,1,38,0.0,873,18:59,105,67,0,0,
Simon Gagne\gagnesi01,34,LW,BOS,23,3,1,4,0,4,0.3,3,0,0,1,1,0,0,27,11.1,260,11:18,7,20,1,8,11.1
John Scott\scottjo01,32,LW,SJS,38,3,1,4,0,87,0.3,3,0,0,0,1,0,0,19,15.8,283,7:27,14,94,0,0,
Raphael Diaz\diazra01,29,D,CGY,56,2,2,4,-3,10,1.0,1,1,0,1,2,0,0,52,3.8,673,12:01,67,24,0,0,
Brandon Gormley\gormlbr01,22,D,ARI,27,2,2,4,-7,10,0.7,1,1,0,0,2,0,0,39,5.1,414,15:19,32,26,0,0,
Jesse Joensuu\joensje01,27,LW,EDM,20,2,2,4,-8,14,0.0,1,0,1,0,2,0,0,18,11.1,213,10:38,9,37,0,0,
Steven Kampfer\kampfst01,26,D,FLA,25,2,2,4,-4,12,0.7,2,0,0,1,1,1,0,28,7.1,430,17:12,33,49,0,0,
Brandon Kozun\kozunbr01,24,RW,TOR,20,2,2,4,-3,6,0.3,2,0,0,0,2,0,0,8,25.0,158,7:55,4,21,1,1,50.0
Steve Pinizzotto\pinizst01,30,RW,EDM,18,2,2,4,1,30,0.5,2,0,0,0,2,0,0,15,13.3,143,7:56,2,32,0,0,
Adam Clendening\clendad01,22,D,TOT,21,1,3,4,2,10,1.0,0,1,0,0,1,2,0,17,5.9,349,16:38,22,9,0,0,
Ryane Clowe\clowery01,32,LW,NJD,13,1,3,4,-1,4,0.2,1,0,0,0,3,0,0,15,6.7,204,15:40,1,21,0,1,0.0
Klas Dahlbeck\dahlbkl01,23,D,TOT,23,1,3,4,-8,8,0.4,1,0,0,0,3,0,0,20,5.0,406,17:40,46,64,0,0,
Jordan Leopold\leopojo01,34,D,TOT,43,1,3,4,-6,19,0.5,0,1,0,0,3,0,0,39,2.6,642,14:55,50,33,0,0,
Manny Malhotra\malhoma01,34,C,MTL,58,1,3,4,-6,12,-0.8,1,0,0,1,3,0,0,46,2.2,629,10:51,62,37,537,367,59.4
Cody McCormick\mccorco01,31,C,BUF,33,1,3,4,-9,40,-0.4,0,0,1,0,3,0,0,31,3.2,387,11:43,29,77,147,144,50.5
Brandon McMillan\mcmilbr01,24,C,TOT,58,1,3,4,-19,16,-1.2,1,0,0,0,3,0,0,51,2.0,607,10:28,23,91,10,13,43.5
Mirco Mueller\muellmi01,19,D,SJS,39,1,3,4,-8,10,0.4,1,0,0,0,3,0,0,31,3.2,661,16:58,58,49,0,0,
David Schlemko\schleda01,27,D,TOT,44,1,3,4,1,12,1.4,1,0,0,0,1,2,0,45,2.2,675,15:20,85,45,0,0,
Nate Schmidt\schmina01,23,D,WSH,39,1,3,4,-2,10,0.8,1,0,0,0,3,0,0,40,2.5,542,13:53,33,34,0,0,
Zach Sill\sillza01,26,C,TOT,63,1,3,4,-5,84,-0.5,1,0,0,0,3,0,0,43,2.3,528,8:23,27,173,46,47,49.5
Matt Bartkowski\bartkma01,26,D,BOS,47,0,4,4,-6,37,0.7,0,0,0,0,4,0,0,67,0.0,796,16:56,24,88,0,0,
Grant Clitsome\clitsgr01,29,D,WPG,24,0,4,4,4,8,1.1,0,0,0,0,4,0,0,22,0.0,393,16:22,20,46,0,0,
Taylor Fedun\fedunta01,26,D,SJS,7,0,4,4,0,4,0.6,0,0,0,0,2,2,0,12,0.0,119,16:59,8,0,0,0,
Mark Fraser\frasema01,28,D,NJD,34,0,4,4,2,55,1.4,0,0,0,0,3,0,1,19,0.0,553,16:17,51,88,0,0,
Mike Weaver\weavemi01,36,D,MTL,31,0,4,4,0,6,0.9,0,0,0,0,4,0,0,8,0.0,439,14:10,61,35,0,0,
Andy Andreoff\andrean01,23,C,LAK,18,2,1,3,1,18,0.4,2,0,0,1,1,0,0,14,14.3,154,8:34,0,33,32,29,52.5
Sven Andrighetto\andrisv01,21,RW,MTL,12,2,1,3,0,0,0.4,2,0,0,0,1,0,0,12,16.7,113,9:25,4,5,3,12,20.0
Luke Gazdic\gazdilu01,25,LW,EDM,40,2,1,3,-4,43,-0.1,2,0,0,0,1,0,0,26,7.7,296,7:23,15,76,0,0,
Petteri Lindbohm\lindbpe02,21,D,STL,23,2,1,3,-1,26,0.8,2,0,0,0,1,0,0,32,6.3,358,15:34,22,26,0,0,
Xavier Ouellet\ouellxa01,21,D,DET,21,2,1,3,4,2,1.2,2,0,0,0,1,0,0,27,7.4,344,16:23,13,11,0,0,
Matt Puempel\puempma01,22,LW,OTT,13,2,1,3,6,8,0.6,2,0,0,0,1,0,0,14,14.3,104,8:02,1,9,0,1,0.0
Mark Pysyk\pysykma01,23,D,BUF,7,2,1,3,4,2,1.1,2,0,0,1,1,0,0,4,50.0,127,18:11,11,1,0,0,
Zack Smith\smithza01,26,C,OTT,37,2,1,3,-8,18,-0.6,2,0,0,0,1,0,0,38,5.3,445,12:02,13,64,103,128,44.6
Adam Burish\burisad01,32,RW,SJS,20,1,2,3,-6,33,-0.2,1,0,0,0,2,0,0,22,4.5,223,11:09,19,11,57,50,53.3
Cory Conacher\conacco01,25,C,NYI,15,1,2,3,-3,14,-0.1,1,0,0,0,2,0,0,23,4.3,202,13:29,7,19,1,2,33.3
Zac Dalpe\dalpeza01,25,C,BUF,21,1,2,3,-11,4,-0.3,1,0,0,0,2,0,0,29,3.4,195,9:17,8,15,20,13,60.6
Brad Hunt\huntbr01,26,D,EDM,11,1,2,3,-6,0,0.2,0,1,0,0,2,0,0,20,5.0,214,19:29,10,8,0,0,
Ryan Murray\murrary01,21,D,CBJ,12,1,2,3,1,8,0.7,0,1,0,0,2,0,0,8,12.5,227,18:55,11,5,0,0,
Iiro Pakarinen\pakarii01,23,RW,EDM,17,1,2,3,-4,2,0.0,1,0,0,0,0,2,0,34,2.9,172,10:08,3,51,1,0,100.0
Drew Shore\shoredr01,24,C,CGY,11,1,2,3,-5,0,0.0,1,0,0,0,2,0,0,13,7.7,117,10:40,4,12,33,32,50.8
Matt Donovan\donovma01,24,D,NYI,12,0,3,3,4,0,0.8,0,0,0,0,3,0,0,12,0.0,211,17:34,16,22,0,0,
Patrick Kaleta\kaletpa01,28,RW,BUF,42,0,3,3,-11,36,-0.7,0,0,0,0,2,0,1,25,0.0,372,8:52,25,88,3,5,37.5
Brandon Manning\mannibr01,24,D,PHI,11,0,3,3,3,7,0.7,0,0,0,0,3,0,0,10,0.0,189,17:10,13,19,0,0,
Josh Manson\mansojo01,23,D,ANA,28,0,3,3,1,31,0.7,0,0,0,0,3,0,0,26,0.0,516,18:26,24,44,0,0,
Patrik Nemeth\nemetpa01,22,D,DAL,22,0,3,3,0,6,0.5,0,0,0,0,3,0,0,16,0.0,357,16:13,21,28,0,0,
Joakim Nordstrom\nordsjo02,22,C,CHI,38,0,3,3,-5,4,-0.6,0,0,0,0,3,0,0,42,0.0,417,10:58,17,73,2,8,20.0
Stuart Percy\percyst01,21,D,TOR,9,0,3,3,-4,2,0.2,0,0,0,0,1,2,0,13,0.0,163,18:05,13,14,0,0,
Alex Petrovic\petroal01,22,D,FLA,33,0,3,3,-4,34,0.5,0,0,0,0,3,0,0,29,0.0,537,16:16,34,76,0,0,
Chris Phillips\phillch02,36,D,OTT,36,0,3,3,0,14,0.8,0,0,0,0,2,1,0,29,0.0,752,20:54,54,70,0,0,
Kerby Rychel\rycheke01,20,LW,CBJ,5,0,3,3,3,2,0.4,0,0,0,0,3,0,0,4,0.0,53,10:42,3,11,0,0,
Chris Summers\summech01,26,D,TOT,20,0,3,3,-12,8,-0.4,0,0,0,0,3,0,0,15,0.0,285,14:15,26,49,0,0,
Brett Sutter\suttebr04,27,C,MIN,6,0,3,3,1,4,0.3,0,0,0,0,3,0,0,6,0.0,56,9:19,1,16,0,0,
Eric Boulton\boulter01,38,LW,NYI,10,2,0,2,-1,30,0.3,2,0,0,0,0,0,0,9,22.2,72,7:12,4,10,0,0,
Tyler Pitlick\pitlity01,23,RW,EDM,17,2,0,2,-3,4,0.0,2,0,0,1,0,0,0,18,11.1,212,12:27,17,55,5,4,55.6
Sam Carrick\carrisa01,22,C,TOR,16,1,1,2,1,9,0.2,1,0,0,0,1,0,0,17,5.9,104,6:29,1,30,38,53,41.8
Dan Cleary\clearda01,36,RW,DET,17,1,1,2,-4,6,-0.1,1,0,0,0,1,0,0,17,5.9,155,9:08,9,21,2,2,50.0
Matt Ellis\ellisma01,33,LW,BUF,39,1,1,2,-12,4,-0.7,1,0,0,1,1,0,0,29,3.4,325,8:19,16,10,100,105,48.8
Justin Falk\falkju01,26,D,TOT,18,1,1,2,-9,14,-0.3,1,0,0,0,1,0,0,18,5.6,195,10:49,19,12,0,0,
Ryan Hamilton\hamilry01,29,LW,EDM,16,1,1,2,-8,6,-0.3,0,1,0,0,1,0,0,12,8.3,211,13:13,13,27,1,3,25.0
Joey Hishon\hishojo01,23,C,COL,13,1,1,2,-1,0,0.1,1,0,0,1,1,0,0,19,5.3,131,10:07,7,3,35,43,44.9
Alexey Marchenko\marchal01,23,D,DET,13,1,1,2,1,2,0.6,1,0,0,0,1,0,0,7,14.3,201,15:26,10,9,0,0,
Kael Mouillierat\mouilka01,27,LW,NYI,6,1,1,2,-3,8,0.1,1,0,0,0,1,0,0,1,100.0,52,8:41,3,8,16,18,47.1
Chris Mueller\muellch01,28,C,NYR,7,1,1,2,-1,0,0.2,0,1,0,0,1,0,0,10,10.0,73,10:27,1,3,38,26,59.4
Liam O'Brien\obrieli01,20,C,WSH,13,1,1,2,4,23,0.3,1,0,0,0,1,0,0,16,6.3,98,7:33,0,35,1,1,50.0
Anthony Peluso\pelusan01,25,RW,WPG,49,1,1,2,-3,86,-0.3,1,0,0,0,1,0,0,23,4.3,288,5:53,6,104,0,1,0.0
Chris Porter\portech01,30,LW,STL,24,1,1,2,-3,6,-0.2,1,0,0,1,1,0,0,24,4.2,229,9:33,1,63,4,5,44.4
Borna Rendulic\rendubo01,22,RW,COL,11,1,1,2,1,6,0.2,1,0,0,0,1,0,0,6,16.7,103,9:24,3,22,0,0,
Bryan Rust\rustbr01,22,RW,PIT,14,1,1,2,-3,4,-0.1,1,0,0,0,1,0,0,34,2.9,168,12:02,3,21,0,0,
Tim Schaller\schalti01,24,C,BUF,18,1,1,2,-5,2,-0.2,1,0,0,0,1,0,0,19,5.3,204,11:21,14,44,74,112,39.8
Stephane Veilleux\veillst01,33,LW,MIN,12,1,1,2,0,10,0.2,1,0,0,1,1,0,0,9,11.1,92,7:42,8,9,0,1,0.0
Bryan Allen\allenbr01,34,D,TOT,11,0,2,2,-2,6,0.2,0,0,0,0,2,0,0,6,0.0,173,15:43,15,20,0,0,
Danny Biega\biegada01,23,D,CAR,10,0,2,2,-5,0,0.1,0,0,0,0,2,0,0,7,0.0,161,16:09,7,27,0,0,
Sean Collins\collise02,26,C,CBJ,8,0,2,2,0,2,0.1,0,0,0,0,2,0,0,4,0.0,83,10:20,0,18,2,3,40.0
Seth Helgeson\helgese01,24,D,NJD,22,0,2,2,4,18,1.0,0,0,0,0,2,0,0,11,0.0,296,13:28,20,42,0,0,
Brian Lashoff\lashobr01,24,D,DET,11,0,2,2,4,6,0.7,0,0,0,0,2,0,0,7,0.0,146,13:17,14,7,0,0,
Andrew MacWilliam\macwian01,24,D,TOR,12,0,2,2,-6,12,-0.1,0,0,0,0,2,0,0,5,0.0,185,15:24,20,35,0,1,0.0
David Musil\musilda01,21,D,EDM,4,0,2,2,-2,2,0.1,0,0,0,0,2,0,0,3,0.0,79,19:48,8,5,0,0,
Ty Rattie\rattity01,21,RW,STL,11,0,2,2,0,2,0.1,0,0,0,0,2,0,0,8,0.0,100,9:06,4,15,0,0,
Bryce Salvador\salvabr01,38,D,NJD,15,0,2,2,-5,20,0.2,0,0,0,0,2,0,0,13,0.0,278,18:30,19,22,0,0,
Tim Sestito\sestiti01,30,LW,NJD,15,0,2,2,-1,33,0.0,0,0,0,0,2,0,0,10,0.0,148,9:53,3,20,43,59,42.2
Petr Straka\strakpe01,22,RW,PHI,3,0,2,2,1,0,0.2,0,0,0,0,2,0,0,2,0.0,28,9:27,1,4,0,0,
Jarred Tinordi\tinorja01,22,D,MTL,13,0,2,2,-5,19,-0.1,0,0,0,0,2,0,0,5,0.0,157,12:04,18,20,0,0,
Slava Voynov\voynovi01,25,D,LAK,6,0,2,2,0,2,0.4,0,0,0,0,0,1,1,5,0.0,139,23:11,8,11,0,0,
Casey Bailey\baileca01,23,C,TOR,6,1,0,1,1,2,0.2,1,0,0,0,0,0,0,9,11.1,54,9:02,4,3,0,0,
Alex Biega\biegaal01,26,D,VAN,7,1,0,1,-2,0,0.1,1,0,0,1,0,0,0,7,14.3,111,15:48,8,34,0,0,
Reid Boucher\bouchre01,21,LW,NJD,11,1,0,1,-4,0,-0.1,1,0,0,0,0,0,0,20,5.0,123,11:08,5,9,0,0,
Chris Brown\brownch01,23,C,WSH,5,1,0,1,1,2,0.2,1,0,0,0,0,0,0,4,25.0,32,6:28,1,6,1,2,33.3
Frank Corrado\corrafr01,21,D,VAN,10,1,0,1,-7,0,-0.3,1,0,0,0,0,0,0,8,12.5,157,15:40,12,15,0,0,
Brandon Davidson\davidbr01,23,D,EDM,12,1,0,1,-5,0,0.0,1,0,0,0,0,0,0,7,14.3,182,15:08,22,18,0,0,
Brian Dumoulin\dumoubr01,23,D,PIT,8,1,0,1,0,2,0.3,1,0,0,0,0,0,0,4,25.0,125,15:40,9,11,0,0,
Landon Ferraro\ferrala01,23,C,DET,3,1,0,1,1,0,0.2,1,0,0,1,0,0,0,4,25.0,36,11:59,3,3,0,0,
T.J. Galiardi\galiatj01,26,LW,WPG,38,1,0,1,-8,2,-0.8,1,0,0,0,0,0,0,35,2.9,398,10:28,14,39,2,9,18.2
Stanislav Galiev\galiest01,23,RW,WSH,2,1,0,1,1,0,0.2,1,0,0,0,0,0,0,2,50.0,19,9:23,0,3,0,0,
Colin Greening\greenco01,28,LW,OTT,26,1,0,1,-5,29,-0.5,1,0,0,0,0,0,0,39,2.6,255,9:49,14,85,6,2,75.0
Rocco Grimaldi\grimaro01,21,C,FLA,7,1,0,1,1,4,0.1,1,0,0,0,0,0,0,18,5.6,88,12:37,1,7,6,8,42.9
Freddie Hamilton\hamilfr01,23,C,TOT,18,1,0,1,-2,0,-0.1,1,0,0,1,0,0,0,11,9.1,136,7:35,3,22,23,37,38.3
Justin Hodgman\hodgmju01,26,C,ARI,5,1,0,1,-2,2,0.1,0,1,0,0,0,0,0,3,33.3,57,11:24,0,8,25,21,54.3
Josh Leivo\leivojo01,21,LW,TOR,9,1,0,1,-1,4,0.1,1,0,0,0,0,0,0,10,10.0,69,7:39,0,5,0,2,0.0
Bryan Lerg\lergbr01,29,C,SJS,2,1,0,1,-1,0,0.1,1,0,0,1,0,0,0,8,12.5,25,12:36,0,3,4,0,100.0
Jon Marchessault\audymjo01,24,C,TBL,2,1,0,1,1,0,0.2,1,0,0,0,0,0,0,3,33.3,24,11:57,0,4,1,2,33.3
Stefan Matteau\mattest02,20,LW,NJD,7,1,0,1,0,4,0.1,1,0,0,0,0,0,0,8,12.5,83,11:52,1,19,0,0,
Joseph Morrow\morrojo02,22,D,BOS,15,1,0,1,3,4,0.7,1,0,0,0,0,0,0,20,5.0,250,16:41,22,18,0,0,
Miikka Salomaki\salommi01,21,RW,NSH,1,1,0,1,1,0,0.3,1,0,0,0,0,0,0,4,25.0,11,10:49,1,7,0,0,
Jordan Szwarz\szwarjo01,23,RW,ARI,9,1,0,1,-2,2,0.0,1,0,0,0,0,0,0,8,12.5,121,13:28,9,5,0,0,
Christian Thomas\thomach01,22,LW,MTL,18,1,0,1,-2,7,-0.1,1,0,0,0,0,0,0,26,3.8,164,9:06,3,8,0,1,0.0
Joe Whitney\whitnjo01,26,RW,NJD,4,1,0,1,-1,0,0.1,1,0,0,0,0,0,0,1,100.0,28,6:53,0,5,0,0,
Andrew Agozzino\agozzan01,24,LW,COL,1,0,1,1,1,0,0.1,0,0,0,0,1,0,0,1,0.0,10,9:45,0,1,0,2,0.0
Josh Anderson\anderjo05,20,RW,CBJ,6,0,1,1,-1,2,-0.1,0,0,0,0,1,0,0,10,0.0,81,13:27,2,24,0,0,
Keith Aulie\aulieke01,25,D,EDM,31,0,1,1,-3,66,0.3,0,0,0,0,1,0,0,25,0.0,443,14:18,37,59,0,0,
Keith Ballard\ballake01,32,D,MIN,14,0,1,1,-3,26,0.0,0,0,0,0,1,0,0,5,0.0,169,12:03,20,15,0,0,
Sam Bennett\bennesa01,18,C,CGY,1,0,1,1,-1,0,0.0,0,0,0,0,1,0,0,1,0.0,16,16:00,0,0,2,10,16.7
Stu Bickel\bickest01,28,D,MIN,9,0,1,1,1,46,0.2,0,0,0,0,1,0,0,3,0.0,49,5:26,9,10,0,0,
Jonathon Blum\blumjo02,26,D,MIN,4,0,1,1,-3,2,-0.1,0,0,0,0,1,0,0,3,0.0,39,9:52,2,1,0,0,
T.J. Brennan\brenntj01,25,D,TOR,6,0,1,1,-7,9,-0.4,0,0,0,0,0,1,0,11,0.0,101,16:49,5,2,0,0,
Andrew Campbell\campban01,26,D,ARI,33,0,1,1,-13,10,-0.2,0,0,0,0,1,0,0,28,0.0,579,17:32,58,67,0,0,
Paul Carey\careypa01,26,C,COL,10,0,1,1,2,0,0.1,0,0,0,0,1,0,0,5,0.0,79,7:53,2,12,0,3,0.0
Mat Clark\clarkma01,24,D,ANA,7,0,1,1,2,6,0.3,0,0,0,0,1,0,0,2,0.0,89,12:46,5,10,0,0,
Andrew Copp\coppan01,20,C,WPG,1,0,1,1,2,0,0.2,0,0,0,0,1,0,0,4,0.0,13,13:16,0,0,12,6,66.7
Adam Cracknell\crackad01,29,RW,CBJ,17,0,1,1,-8,2,-0.5,0,0,0,0,1,0,0,17,0.0,169,9:57,6,43,20,38,34.5
Keaton Ellerby\ellerke01,26,D,WPG,1,0,1,1,-1,0,0.0,0,0,0,0,1,0,0,0,,17,16:58,2,2,0,0,
Brian Ferlin\ferlibr01,22,RW,BOS,7,0,1,1,0,0,0.0,0,0,0,0,1,0,0,6,0.0,62,8:48,0,20,0,1,0.0
Mike Kostka\kostkmi01,29,D,NYR,7,0,1,1,1,0,0.2,0,0,0,0,1,0,0,7,0.0,108,15:23,9,6,0,0,
Jordan Martinook\martijo01,22,C,ARI,8,0,1,1,-3,0,-0.1,0,0,0,0,1,0,0,8,0.0,94,11:42,2,14,1,0,100.0
Jayson Megna\megnaja01,24,C,PIT,12,0,1,1,-2,14,-0.2,0,0,0,0,1,0,0,13,0.0,132,11:02,8,40,0,0,
Valeri Nichushkin\nichuva01,19,RW,DAL,8,0,1,1,-5,2,-0.3,0,0,0,0,1,0,0,6,0.0,110,13:46,1,7,0,0,
Shane O'Brien\obriesh01,31,D,FLA,9,0,1,1,-4,5,-0.1,0,0,0,0,1,0,0,4,0.0,121,13:29,12,36,0,0,
Eric O'Dell\odeller01,24,C,WPG,11,0,1,1,0,19,0.0,0,0,0,0,1,0,0,6,0.0,82,7:26,0,14,18,23,43.9
Jordan Oesterle\oestejo01,22,D,EDM,6,0,1,1,-4,0,-0.1,0,0,0,0,1,0,0,7,0.0,88,14:42,3,2,0,0,
Magnus Paajarvi\paajama01,23,LW,STL,10,0,1,1,-2,6,-0.1,0,0,0,0,0,1,0,9,0.0,98,9:48,0,8,1,0,100.0
Michael Paliotta\paliomi01,21,D,CHI,1,0,1,1,0,0,0.1,0,0,0,0,1,0,0,2,0.0,13,12:45,2,0,0,0,
Emile Poirier\poiriem01,20,RW,CGY,6,0,1,1,1,0,0.1,0,0,0,0,1,0,0,2,0.0,48,7:59,1,8,0,1,0.0
Shane Prince\princsh01,22,LW,OTT,2,0,1,1,1,0,0.1,0,0,0,0,1,0,0,2,0.0,21,10:29,0,2,0,0,
Peter Regin\reginpe01,28,C,CHI,4,0,1,1,1,0,0.1,0,0,0,0,1,0,0,3,0.0,33,8:20,0,3,1,1,50.0
Griffin Reinhart\reinhgr01,21,D,NYI,8,0,1,1,1,6,0.3,0,0,0,0,1,0,0,4,0.0,113,14:10,8,14,0,0,
Sam Reinhart\reinhsa01,19,C,BUF,9,0,1,1,-1,2,-0.1,0,0,0,0,1,0,0,3,0.0,93,10:22,5,3,21,65,24.4
