,,,,Scor,Scor,Scor,Scor,Scor,Scor,,Goal,Goal,Goal,Goal,Assi,Assi,Assi,,,Ice,Ice,,,,,
Player,Age,Pos,Tm,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%
Dan Boyle\boyleda01,38,D,NYR,65,9,11,20,18,20,5.4,6,3,0,3,6,5,0,116,7.8,1316,20:15,79,49,0,0,
Kyle Brodziak\brodzky01,30,C,MIN,73,9,11,20,-6,47,1.5,8,0,1,0,11,0,0,86,10.5,952,13:03,63,56,338,340,49.9
Zdeno Chara\charazd01,37,D,BOS,63,8,12,20,0,42,4.5,4,4,0,0,8,1,3,138,5.8,1471,23:21,99,125,1,0,100.0
Marcus Foligno\foligma01,23,LW,BUF,57,8,12,20,-5,50,1.6,8,0,0,0,10,1,1,66,12.1,925,16:14,48,193,57,75,43.2
Vincent Lecavalier\lecavvi01,34,C,PHI,57,8,12,20,-7,36,1.6,7,1,0,0,9,3,0,103,7.8,721,12:39,15,40,95,96,49.7
Rasmus Ristolainen\ristora01,20,D,BUF,78,8,12,20,-32,26,2.6,4,4,0,0,7,5,0,121,6.6,1608,20:37,136,118,1,0,100.0
Brooks Laich\laichbr01,31,C,WSH,66,7,13,20,-2,24,1.3,7,0,0,2,11,1,1,106,6.6,972,14:43,53,107,87,111,43.9
Andrej Nestrasil\nestran01,23,C,TOT,54,7,13,20,-1,8,2.0,5,2,0,0,10,3,0,82,8.5,721,13:21,17,54,55,39,58.5
Anton Lander\landean01,23,C,EDM,38,6,14,20,-12,14,1.6,2,4,0,2,11,3,0,61,9.8,570,15:01,12,59,226,225,50.1
Devante Smith-Pelly\smithde06,22,RW,TOT,74,6,14,20,-1,24,1.0,5,0,1,1,12,1,1,104,5.8,1057,14:17,49,205,23,60,27.7
Zach Redmond\redmoza01,26,D,COL,59,5,15,20,-1,24,3.7,4,1,0,1,10,5,0,93,5.4,1012,17:09,76,59,0,0,
Marc Staal\staalma01,28,D,NYR,80,5,15,20,18,42,5.0,5,0,0,0,13,0,2,97,5.2,1691,21:08,123,99,1,1,50.0
Lubomir Visnovsky\visnolu01,38,D,NYI,53,5,15,20,-3,8,3.1,3,2,0,1,12,3,0,85,5.9,1035,19:32,61,38,0,1,0.0
Dan Girardi\girarda01,30,D,NYR,82,4,16,20,12,22,4.5,3,1,0,1,13,2,1,111,3.6,1861,22:42,184,224,0,0,
Alexander Wennberg\wennbal01,20,C,CBJ,68,4,16,20,-19,22,-0.1,3,1,0,0,13,3,0,85,4.7,1062,15:37,45,58,288,386,42.7
Zach Bogosian\bogosza01,24,D,TOT,62,3,17,20,-6,78,3.5,3,0,0,0,15,2,0,125,2.4,1469,23:41,90,189,0,0,
Paul Martin\martipa01,33,D,PIT,74,3,17,20,17,20,5.7,3,0,0,0,16,1,0,61,4.9,1687,22:47,139,60,0,0,
Oscar Klefbom\klefbos01,21,D,EDM,60,2,18,20,-21,4,2.1,2,0,0,0,16,2,0,98,2.0,1320,22:00,102,45,0,0,
Chris Tanev\tanevch01,25,D,VAN,70,2,18,20,8,12,4.3,2,0,0,1,16,2,0,53,3.8,1476,21:05,170,23,0,0,
Cedric Paquette\paquece01,21,C,TBL,64,12,7,19,4,51,2.0,10,0,2,3,7,0,0,91,13.2,871,13:37,55,117,106,120,46.9
Jean-Gabriel Pageau\pageaje01,22,C,OTT,50,10,9,19,4,9,2.2,8,0,2,2,9,0,0,97,10.3,709,14:11,20,158,335,344,49.3
Sean Bergenheim\bergese01,30,LW,TOT,56,9,10,19,-2,40,1.8,9,0,0,2,8,2,0,108,8.3,735,13:07,13,72,2,4,33.3
Mikhail Grabovski\grabomi01,31,C,NYI,51,9,10,19,3,8,2.0,9,0,0,2,9,1,0,81,11.1,728,14:16,19,11,38,45,45.8
Matt Irwin\irwinma01,27,D,SJS,53,8,11,19,3,18,4.1,7,1,0,1,9,2,0,93,8.6,902,17:01,65,55,0,0,
Jason Chimera\chimeja01,35,LW,WSH,77,7,12,19,-1,51,1.1,7,0,0,2,12,0,0,96,7.3,996,12:56,18,132,43,33,56.6
Paul Byron\byronpa01,25,C,CGY,57,6,13,19,-2,8,1.3,5,1,0,0,11,0,2,62,9.7,825,14:28,24,101,34,62,35.4
Eric Gelinas\geliner01,23,D,NJD,61,6,13,19,-2,42,4.0,3,3,0,2,7,6,0,112,5.4,1004,16:28,50,82,0,0,
Michael Ryder\rydermi01,34,RW,NJD,47,6,13,19,-1,30,1.8,6,0,0,0,11,2,0,89,6.7,681,14:29,14,53,2,4,33.3
Alexander Semin\seminal01,30,RW,CAR,57,6,13,19,-10,32,1.2,6,0,0,0,9,4,0,93,6.5,908,15:55,17,30,3,6,33.3
